"lon","lat"
-73.8213213,40.7493096
-73.8241702,40.7701607
-73.8581477,40.7409863
-73.8202582,40.7619197
-73.7253157,40.7441851
-73.827554,40.7077219
-73.7659358,40.7198507
-73.8336816,40.7172465
-73.7844721,40.7820858
-73.9201376,40.7566123
-73.782007,40.777937
-73.782007,40.777937
-73.7253307,40.7656923
-73.801044,40.7829824
-73.8082538,40.7299477
-73.8194413,40.7588815
-73.8576194,40.7232542
-73.8501969,40.7298336
-73.826347,40.7121204
-73.834649,40.705347
-73.828766,40.708137
-73.7651097,40.72052
-73.8801301,40.737975
-73.8161158,40.7166177
-73.8737906,40.7564387
-73.7424305,40.7337619
-73.8868537,40.7142542
-73.7804978,40.7864947
-73.759209,40.760849
-73.849753,40.727027
-73.8833916,40.7515223
-73.7474748,40.767787
-73.8479327,40.6674344
-73.8548875,40.7060178
-73.828356,40.785724
-73.9405572,40.7492016
-73.9405572,40.7492016
-73.7431457,40.7380017
-73.7835177,40.782091
-73.7759047,40.783984
-73.782763,40.7794422
-73.8813964,40.7512159
-73.8471901,40.6668092
-73.7296297,40.7578526
-73.854466,40.725316
-73.7344433,40.6750239
-73.8577614,40.736926
-73.721168,40.7512883
-73.7323603,40.6773743
-73.8541737,40.7249612
-73.8253515,40.7743102
-73.8562863,40.7375982
-73.8243684,40.7566585
-73.8195292,40.7628229
-73.8119929,40.7124305
-73.7296015,40.7571751
-73.848109,40.6656271
-73.7536695,40.7469886
-73.7253307,40.7656923
-73.8527035,40.7314663
-73.8534386,40.7275577
-73.8239907,40.7050067
-73.7472079,40.7466417
-73.7676874,40.7193674
-73.7902678,40.7135284
-73.8493036,40.7221796
-73.9230693,40.739293
-73.7769025,40.7848735
-73.8367741,40.7087792
-73.9405572,40.7492016
-73.8470063,40.667401
-73.7814736,40.7656414
-73.7336194,40.6775175
-73.7414491,40.7340738
-73.848084,40.6652254
-73.7253307,40.7656923
-73.9072827,40.7575968
-73.8169385,40.7306389
-73.8317007,40.7303851
-73.7887497,40.7131939
-73.905153,40.7102
-73.8455849,40.667796
-73.7994399,40.7821872
-73.8646811,40.7468243
-73.7759047,40.783984
-73.830634,40.75479
-73.76245,40.7227517
